Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0034709	422	2422	668	2659	3503	4670	2407	2761	1836	3791	897	1018	1074	1437	3620	4393	4363	2879	958	3917	2455.5	1106	3814	2438	3.445	1.784	3.81	0.000138750251870297	0.00126754502246574	0.1593	0.6958	0.2101	0.2101	TRUE	0.2863
FBgn0002933	0	1	0	1	18	29	47	30	0	1398	0	0	0	1	19	27	85	31	0	1444	160.78	0	40	722	125.087	6.967	3.809	0.00013952737190152	0.00127303292416342	2.9239	0.8219	2.3394	2.3394	TRUE	2.103
FBgn0265998	1414	7720	2736	9736	9940	9452	9009	6835	7319	2814	3005	3246	4400	5262	10271	8891	16329	7127	3817	2908	6525.45	3978	10654	3362	2.678	1.421	3.808	0.000140361477185641	0.00127983421459099	0.0951	0.6903	0.1336	0.1336	TRUE	0.2959
FBgn0085734	27	101	13	106	371	281	194	291	483	13	57	42	21	57	383	264	352	303	252	13	174.61	44	326	132	7.308	2.87	3.805	0.000141893057059033	0.00129298256666041	0.4887	0.8112	0.5317	0.5317	TRUE	0.2828
FBgn0000576	5	79	25	69	177	131	163	102	35	89	11	33	40	37	183	123	295	106	18	92	93.95	30	177	55	5.752	2.524	3.803	0.000143010791752245	0.00130152444397977	0.3301	0.918	0.4014	0.4014	TRUE	0.2043
FBgn0011224	1032	4791	1436	4521	3211	3287	2117	3799	6663	3475	2193	2014	2309	2443	3318	3092	3837	3961	3475	3591	3023.37	2240	3552	3533	1.585	0.665	3.799	0.000145081663016592	0.0013168977746767	0.0082	0.6941	0.029	0.029	TRUE	0.0619
FBgn0028734	3161	17313	2123	6019	13794	15732	6973	15701	15254	4466	6717	7279	3414	3253	14254	14798	12638	16371	7955	4615	9129.49	5166	14515	6285	2.81	1.491	3.799	0.000145247419792526	0.0013168977746767	0.0976	0.6893	0.1478	0.1478	TRUE	0.3703
FBgn0035469	102	563	131	339	442	439	429	401	481	388	217	237	211	183	457	413	778	418	251	401	356.44	212	516	326	2.433	1.283	3.799	0.000145189249887219	0.0013168977746767	0.06	0.7478	0.1057	0.1057	TRUE	0.8651
FBgn0285879	32	339	251	769	1710	1191	1883	766	374	583	68	143	404	416	1767	1120	3413	799	195	602	892.61	258	1775	398	6.886	2.784	3.798	0.000145938687874621	0.00132150503185839	0.4614	0.7113	0.5136	0.5136	TRUE	0.2077
FBgn0264391	0	1	1	1	18	12	17	29	37	0	0	0	2	1	19	11	31	30	19	0	11.28	1	23	10	36.228	5.179	3.795	0.000147481350598926	0.00133380063567976	0.831	2.6111	1.1477	1.1477	TRUE	0.0779
FBgn0038660	7	61	19	62	273	144	301	87	85	843	15	26	31	34	282	135	546	91	44	871	207.38	26	264	458	10.003	3.322	3.794	0.000148099551895741	0.00133687863168425	0.6992	0.7916	0.7127	0.7127	TRUE	0.4043
FBgn0036656	3	31	41	81	768	527	651	496	357	0	6	13	66	44	794	496	1180	517	186	0	330.17	32	747	93	23.117	4.531	3.791	0.000149782015746603	0.00134869221165718	1.51	0.7527	1.3535	1.3535	TRUE	0.3702
FBgn0004777	2	16	3	13	47	94	54	65	16	522	4	7	5	7	49	88	98	68	8	539	87.32	6	76	274	12.928	3.692	3.791	0.000149971420005055	0.00134955578326245	0.7897	0.9355	0.8105	0.8105	TRUE	0.3023
FBgn0000046	301	3867	3216	18231	46998	50222	15167	45697	19532	89675	640	1626	5172	9853	48565	47239	27490	47648	10186	92657	29107.6	4323	42736	51422	9.886	3.305	3.79	0.000150850554208206	0.00135493273145068	0.6065	0.6877	0.7309	0.7309	TRUE	6.0437
FBgn0286898	1060	4721	1327	3872	3347	3766	2468	3385	4878	3640	2253	1985	2134	2093	3459	3542	4473	3530	2544	3761	2977.29	2116	3751	3152	1.773	0.826	3.786	0.00015290479251403	0.00136968951352521	0.0184	0.6942	0.0453	0.0453	TRUE	0.1353
FBgn0032701	212	1125	88	221	1163	1558	527	1319	1506	1326	451	473	142	119	1202	1465	955	1375	785	1370	833.77	296	1249	1078	4.222	2.078	3.783	0.00015520758427195	0.00138560316643143	0.2355	0.713	0.2875	0.2875	TRUE	0.7284
FBgn0261618	4212	17581	3677	9688	19016	19249	6101	20075	19291	5627	8951	7392	5913	5236	19650	18106	11058	20932	10061	5814	11311.26	6873	17436	7938	2.537	1.343	3.781	0.000156047339929682	0.00139208115237641	0.0724	0.6889	0.1211	0.1211	TRUE	0.4942
FBgn0051118	22	256	108	446	762	810	531	274	180	180	47	108	174	241	787	762	962	286	94	186	364.64	142	699	140	4.895	2.291	3.78	0.000157002790989788	0.0013988754846584	0.295	0.7465	0.3482	0.3482	TRUE	0.2874
FBgn0038642	1	46	1	8	133	26	55	163	2	12	2	19	2	4	137	24	100	170	1	12	47.24	7	108	6	14.759	3.884	3.779	0.00015772971803101	0.00140361945133144	0.8941	1.1464	0.9335	0.9335	TRUE	0.3647
FBgn0034744	245	2185	302	982	1984	2221	1768	1041	1190	1357	521	919	486	531	2050	2089	3204	1085	621	1402	1290.76	614	2107	1012	3.428	1.777	3.775	0.000160200998978279	0.00142385543057419	0.161	0.7038	0.2118	0.2118	TRUE	0.0742
